,merchantid,alitype,alidecription,wemname,wedate,wemethod,wetype,wedescription
3448,869100001030045,套现,套现风险（套现风险极高）,,,,,
3476,869397006050001,套现,套现风险（套现风险极高）,,,,,
3477,869397006050001,套现,套现风险（套现风险极高）,,,,,
3478,869527004190001,套现,套现风险（套现风险极高）,,,,,
3479,869527004190001,套现,套现风险（套现风险极高）,,,,,
3498,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
3499,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
3512,869451704220001,套现,套现风险（套现风险极高）,,,,,
3513,869451704220001,套现,套现风险（套现风险极高）,,,,,
3514,869304004220011,套现,套现风险（套现风险极高）,,,,,
3515,869304004220011,套现,套现风险（套现风险极高）,,,,,
3539,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
3540,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
3551,869521010010020,套现,套现风险（套现风险极高）,,,,,
3552,869521010010020,套现,套现风险（套现风险极高）,,,,,
3581,869451704220001,套现,套现风险（套现风险极高）,,,,,
3582,869451704220001,套现,套现风险（套现风险极高）,,,,,
3606,869451704220001,套现,套现风险（套现风险极高）,,,,,
3607,869451704220001,套现,套现风险（套现风险极高）,,,,,
3617,869451704220001,套现,套现风险（套现风险极高）,,,,,
3634,869261010010006,套现,套现风险（套现风险极高）,,,,,
3635,869451704220001,套现,套现风险（套现风险极高）,,,,,
3651,869261010010006,套现,套现风险（套现风险极高）,,,,,
3652,869261010010006,套现,套现风险（套现风险极高）,,,,,
3748,869451704220001,套现,套现风险（套现风险极高）,,,,,
3749,869451704220001,套现,套现风险（套现风险极高）,,,,,
3794,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
3795,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
3800,869451704220001,套现,套现风险（套现风险极高）,,,,,
3801,869451704220001,套现,套现风险（套现风险极高）,,,,,
3849,869451704220001,套现,套现风险（套现风险极高）,,,,,
3850,869451704220001,套现,套现风险（套现风险极高）,,,,,
3885,869527004010001,套现,套现风险（套现风险极高）,,,,,
3888,869451704220001,套现,套现风险（套现风险极高）,,,,,
3889,869451704220001,套现,套现风险（套现风险极高）,,,,,
3903,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
3913,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
3934,869527004010001,套现,套现风险（套现风险极高）,,,,,
3935,869527004010001,套现,套现风险（套现风险极高）,,,,,
3940,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
3960,869451704220001,套现,套现风险（套现风险极高）,,,,,
3963,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
4004,869527004010001,套现,套现风险（套现风险极高）,,,,,
4067,869451704220001,套现,套现风险（套现风险极高）,,,,,
4068,869451704220001,套现,套现风险（套现风险极高）,,,,,
4072,869451704220001,套现,套现风险（套现风险极高）,,,,,
4073,869451704220001,套现,套现风险（套现风险极高）,,,,,
4083,869100001030045,套现,套现风险（套现风险极高）,,,,,
4084,869100001030045,套现,套现风险（套现风险极高）,,,,,
4098,869527004010001,套现,套现风险（套现风险极高）,,,,,
4162,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
4169,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
4170,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
4195,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
4242,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
4243,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
4256,869304004220011,套现,套现风险（套现风险极高）,,,,,
4293,869304010010012,套现,套现风险（套现风险极高）,,,,,
4294,869304010010012,套现,套现风险（套现风险极高）,,,,,
4334,869451704220001,套现,套现风险（套现风险极高）,,,,,
4371,869304004220011,套现,套现风险（套现风险极高）,,,,,
4412,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
4451,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
4452,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
4462,869451704220001,套现,套现风险（套现风险极高）,,,,,
4463,869451704220001,套现,套现风险（套现风险极高）,,,,,
4509,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
4510,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
4545,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
4546,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
4578,869290465130010,套现,套现风险（套现风险极高）,,,,,
4581,869290465130010,套现,套现风险（套现风险极高）,,,,,
4604,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
4646,869304004220011,套现,套现风险（套现风险极高）,,,,,
4648,869527004010001,套现,套现风险（套现风险极高）,,,,,
4649,869527004010001,套现,套现风险（套现风险极高）,,,,,
4666,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
4667,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
4699,869451704220001,套现,套现风险（套现风险极高）,,,,,
4700,869451704220001,套现,套现风险（套现风险极高）,,,,,
4711,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
4735,869451704220001,套现,套现风险（套现风险极高）,,,,,
4736,869451704220001,套现,套现风险（套现风险极高）,,,,,
4739,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
4740,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
4755,869451704220001,套现,套现风险（套现风险极高）,,,,,
4756,869451704220001,套现,套现风险（套现风险极高）,,,,,
4757,869306002040001,欺诈,欺诈风险（关闭支付权限）,,,,,
4758,869306002040001,欺诈,欺诈风险（关闭支付权限）,,,,,
4762,869304004220011,套现,套现风险（套现风险极高）,,,,,
4766,869397006050001,套现,套现风险（套现风险极高）,,,,,
4767,869397006050001,套现,套现风险（套现风险极高）,,,,,
4776,869302010050001,套现,套现风险（套现风险极高）,,,,,
4777,869302010050001,套现,套现风险（套现风险极高）,,,,,
4784,869451704220001,套现,套现风险（套现风险极高）,,,,,
4785,869451704220001,套现,套现风险（套现风险极高）,,,,,
4811,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
4812,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
4817,869497010010003,套现,套现风险（套现风险极高）,,,,,
4842,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
4854,869301004020001,,,南京市艺梵造型美发,2020/4/4 13:06,交易拦截,拦截,涉嫌实时交易异常
4855,869301004020001,,,南京市艺梵造型美发,2020/4/4 13:06,交易拦截,拦截,涉嫌实时交易异常
4899,869304004220011,套现,套现风险（套现风险极高）,,,,,
4901,869304004220011,套现,套现风险（套现风险极高）,,,,,
4902,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
4903,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
4915,869304004220011,套现,套现风险（套现风险极高）,,,,,
4955,869497010010003,套现,套现风险（套现风险极高）,,,,,
4956,869497010010003,套现,套现风险（套现风险极高）,,,,,
5043,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
5048,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
5063,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
5064,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
5092,869304004220011,套现,套现风险（套现风险极高）,,,,,
5102,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
5103,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
5126,869451704220001,套现,套现风险（套现风险极高）,,,,,
5127,869451704220001,套现,套现风险（套现风险极高）,,,,,
5190,869527004190001,套现,套现风险（套现风险极高）,,,,,
5193,869527004010001,套现,套现风险（套现风险极高）,,,,,
5194,869527004010001,套现,套现风险（套现风险极高）,,,,,
5234,869527004190001,套现,套现风险（套现风险极高）,,,,,
5235,869527004190001,套现,套现风险（套现风险极高）,,,,,
5254,869527004010001,套现,套现风险（套现风险极高）,,,,,
5255,869527004010001,套现,套现风险（套现风险极高）,,,,,
5299,869451704220001,套现,套现风险（套现风险极高）,,,,,
5314,869451704220001,套现,套现风险（套现风险极高）,,,,,
5315,869451704220001,套现,套现风险（套现风险极高）,,,,,
5328,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
5329,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
5336,869304004220011,套现,套现风险（套现风险极高）,,,,,
5337,869304004220011,套现,套现风险（套现风险极高）,,,,,
5369,869451704220001,套现,套现风险（套现风险极高）,,,,,
5370,869451704220001,套现,套现风险（套现风险极高）,,,,,
5622,869451704220001,套现,套现风险（套现风险极高）,,,,,
5640,869451704220001,套现,套现风险（套现风险极高）,,,,,
5674,869451704220001,套现,套现风险（套现风险极高）,,,,,
5765,869451704220001,套现,套现风险（套现风险极高）,,,,,
5766,869451704220001,套现,套现风险（套现风险极高）,,,,,
5776,869527004010001,套现,套现风险（套现风险极高）,,,,,
5777,869527004010001,套现,套现风险（套现风险极高）,,,,,
5824,869290001030006,,,上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
5854,869451704220001,套现,套现风险（套现风险极高）,,,,,
5881,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
5882,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
5921,869290008080003,套现,套现风险（套现风险极高）,,,,,
5922,869290008080003,套现,套现风险（套现风险极高）,,,,,
5942,869304010010012,套现,套现风险（套现风险极高）,,,,,
5983,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
5984,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
6049,869451704220001,套现,套现风险（套现风险极高）,,,,,
6078,869451704220001,套现,套现风险（套现风险极高）,,,,,
6095,869693707030001,,,重庆城区大学城南一路金科廊桥水乡三组团5号门2楼洗浴中心,2020/3/28 21:43,交易拦截,拦截,涉嫌实时交易异常
6096,869693707030001,,,重庆城区大学城南一路金科廊桥水乡三组团5号门2楼洗浴中心,2020/3/28 21:43,交易拦截,拦截,涉嫌实时交易异常
6121,869451704220001,套现,套现风险（套现风险极高）,,,,,
6122,869451704220001,套现,套现风险（套现风险极高）,,,,,
6137,869290008080003,套现,套现风险（套现风险极高）,,,,,
6138,869290008080003,套现,套现风险（套现风险极高）,,,,,
6153,869242003040001,赌博,赌博风险（关闭支付权限）,,,,,
6191,869451704220001,套现,套现风险（套现风险极高）,,,,,
6192,869451704220001,套现,套现风险（套现风险极高）,,,,,
6279,869161004190001,套现,套现风险（套现风险极高）,,,,,
6280,869161004190001,套现,套现风险（套现风险极高）,,,,,
6283,869242003040001,赌博,赌博风险（关闭支付权限）,,,,,
6324,869451704220001,套现,套现风险（套现风险极高）,,,,,
6325,869451704220001,套现,套现风险（套现风险极高）,,,,,
6339,869304004220011,套现,套现风险（套现风险极高）,,,,,
6340,869304004220011,套现,套现风险（套现风险极高）,,,,,
6350,869100001030018,套现,套现风险（套现风险极高）,,,,,
6351,869100001030018,套现,套现风险（套现风险极高）,,,,,
6391,869242003040001,赌博,赌博风险（关闭支付权限）,,,,,
6548,869451704220001,套现,套现风险（套现风险极高）,,,,,
6549,869451704220001,套现,套现风险（套现风险极高）,,,,,
6595,869451704220001,套现,套现风险（套现风险极高）,,,,,
6596,869451704220001,套现,套现风险（套现风险极高）,,,,,
6695,869242003040001,赌博,赌博风险（关闭支付权限）,,,,,
6696,869242003040001,赌博,赌博风险（关闭支付权限）,,,,,
6713,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
6714,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
6778,869451704220001,套现,套现风险（套现风险极高）,,,,,
6779,869451704220001,套现,套现风险（套现风险极高）,,,,,
6802,869527004010001,套现,套现风险（套现风险极高）,,,,,
6803,869527004010001,套现,套现风险（套现风险极高）,,,,,
6953,869451704220001,套现,套现风险（套现风险极高）,,,,,
6954,869451704220001,套现,套现风险（套现风险极高）,,,,,
7114,869290575380005,套现,套现风险（套现风险极高）,,,,,
7130,869290575380005,套现,套现风险（套现风险极高）,,,,,
7232,869290575380005,套现,套现风险（套现风险极高）,,,,,
7233,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
7234,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
7317,869537004220001,,,荆州市个体户熊纤纤便利店,2020/3/25 22:04,交易拦截,拦截,涉嫌实时交易异常
7318,869537004220001,,,荆州市个体户熊纤纤便利店,2020/3/25 22:04,交易拦截,拦截,涉嫌实时交易异常
7358,869290575380005,套现,套现风险（套现风险极高）,,,,,
7359,869290575380005,套现,套现风险（套现风险极高）,,,,,
7403,869100001030045,套现,套现风险（套现风险极高）,,,,,
7405,869100001030045,套现,套现风险（套现风险极高）,,,,,
7436,869100001030045,套现,套现风险（套现风险极高）,,,,,
7437,869100001030045,套现,套现风险（套现风险极高）,,,,,
7471,869100001030045,套现,套现风险（套现风险极高）,,,,,
7472,869100001030045,套现,套现风险（套现风险极高）,,,,,
7522,869100001030045,套现,套现风险（套现风险极高）,,,,,
7523,869100001030045,套现,套现风险（套现风险极高）,,,,,
7532,869451704220001,套现,套现风险（套现风险极高）,,,,,
7533,869451704220001,套现,套现风险（套现风险极高）,,,,,
7561,869451704220001,套现,套现风险（套现风险极高）,,,,,
7562,869451704220001,套现,套现风险（套现风险极高）,,,,,
7605,869451704220001,套现,套现风险（套现风险极高）,,,,,
7606,869451704220001,套现,套现风险（套现风险极高）,,,,,
7629,869451704220001,套现,套现风险（套现风险极高）,,,,,
7630,869100001030045,套现,套现风险（套现风险极高）,,,,,
7631,869100001030045,套现,套现风险（套现风险极高）,,,,,
7639,869451704220001,套现,套现风险（套现风险极高）,,,,,
7640,869451704220001,套现,套现风险（套现风险极高）,,,,,
7642,869451704220001,套现,套现风险（套现风险极高）,,,,,
7668,869451704220001,套现,套现风险（套现风险极高）,,,,,
7669,869451704220001,套现,套现风险（套现风险极高）,,,,,
