wemname,wedate,wemethod,wetype,wedescription
泉州市ctcafe咖啡厅,2020/2/24 23:34,交易拦截,拦截,涉嫌实时交易异常
泉州市个体户吴培玲美容,2020/3/4 16:40,交易拦截,拦截,涉嫌实时交易异常
泉州市个体户谢啟发便民缴费,2020/3/25 19:25,交易拦截,拦截,涉嫌实时交易异常
泉州市个体户杨培钦旅馆,2020/3/15 17:06,交易拦截,拦截,涉嫌实时交易异常
泉州市快乐驿站快递,2020/3/21 23:55,交易拦截,拦截,涉嫌实时交易异常
厦门市忠兴茗茶杂货店,2020/4/3 18:05,交易拦截,拦截,涉嫌实时交易异常
上海城区个体户戴永辉快餐,2020/3/24 9:43,交易拦截,拦截,涉嫌实时交易异常
上海城区开心便利店,2020/4/7 21:56,关闭支付权限,处理,涉嫌交易异常
上海立兆物业管理有限公司,2020/4/3 14:14,交易拦截,拦截,未确认开户意愿
上海市日用杂货店,2020/3/18 15:40,交易拦截,拦截,涉嫌实时交易异常
苏州市个体户赵军零售,2020/3/25 15:03,交易拦截,拦截,涉嫌实时交易异常
苏州市聚山城火锅,2020/4/7 22:22,调整信用卡支付额度(单笔500元,处理,涉嫌信用卡套现
天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
渭南市梅苑三区便利店,2020/3/27 2:43,交易拦截,拦截,涉嫌实时交易异常
武汉市古之云网络维修,2020/4/7 9:40,交易拦截,拦截,涉嫌实时交易异常
信阳市个体户汪先峰快餐,2020/2/20 20:20,关闭支付权限,处理,涉嫌交易异常
宿迁市贝贝拉姆零售,2020/4/1 13:35,交易拦截,拦截,涉嫌实时交易异常
宿迁市个体户宣金闪维修,2020/4/4 20:30,交易拦截,拦截,涉嫌实时交易异常
宿迁市五行经络养生馆推拿理疗,2020/4/3 18:18,交易拦截,拦截,涉嫌实时交易异常
宜宾市美多科技零售,2020/3/25 17:46,交易拦截,拦截,涉嫌实时交易异常
宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
宜宾市小五金零售,2020/3/25 16:35,交易拦截,拦截,涉嫌实时交易异常
运城市个体户武吉鹏零售,2020/3/30 21:00,关闭支付权限,处理,涉嫌交易异常
运城市个体户杨世泽零售,2020/3/28 17:29,交易拦截,拦截,涉嫌实时交易异常
漳州市天娱电脑店零售,2020/3/26 18:47,交易拦截,拦截,涉嫌实时交易异常
重庆城区大学城南一路金科廊桥水乡三组团5号门2楼洗浴中心,2020/3/28 21:43,交易拦截,拦截,涉嫌实时交易异常
重庆城区个体户张华零售,2020/3/29 9:08,交易拦截,拦截,涉嫌实时交易异常
重庆城区佳士多便利店,2020/3/24 23:09,交易拦截,拦截,涉嫌实时交易异常
重庆郊县个体户方勇零售,2020/3/12 0:02,交易拦截,拦截,涉嫌实时交易异常
驻马店市个体户韩慧慧童装,2020/3/17 7:07,交易拦截,拦截,涉嫌实时交易异常
